Frequency	Rho_xy	phi_xy	rho_yx	phi_yx
10400	25.05	47.19	25.05	47.19
8800	29.49	44.22	29.49	44.22
7200	32.97	45.13	32.97	45.13
6000	25.21	45.01	25.21	45.01
5200	5.96	43.83	5.96	43.83
4400	2.78	44	2.78	44
3600	0.85	40.79	0.85	40.79
3000	1.59	46.1	1.59	46.1
2600	0.63	49.23	0.63	49.23
2200	0.86	45.75	0.86	45.75
1800	0.2	53.15	0.2	53.15
1500	1.38	35.41	1.38	35.41
1300	5.66	33.11	5.66	33.11
1100	6.24	35.02	6.24	35.02
900	4.34	42.97	4.34	42.97
780	1.4	42.12	1.4	42.12
640	2.1	47.23	2.1	47.23
530	4.13	45.49	4.13	45.49
460	16.47	51.23	16.47	51.23
390	30.37	53.5	30.37	53.5
320	33.03	54.06	33.03	54.06
265	32.52	54.37	32.52	54.37
229	31.31	54.37	31.31	54.37
194	30.08	54.75	30.08	54.75
159	28.71	54.28	28.71	54.28
132	25.26	54.06	25.26	54.06
115	27.46	53.59	27.46	53.59
97	25.97	53.84	25.97	53.84
79	25.4	53.02	25.4	53.02
66	24.84	52.98	24.84	52.98
57	24.34	52.21	24.34	52.21
49	22.13	51.98	22.13	51.98
40	22.1	51.37	22.1	51.37
33	21.57	50.67	21.57	50.67
27.5	21.51	50.08	21.51	50.08
22.5	20.89	49.37	20.89	49.37
18.8	20.84	49.16	20.84	49.16
16.2	20.26	48.77	20.26	48.77
13.7	20.76	48.73	20.76	48.73
11.2	18.39	48.65	18.39	48.65
9.4	18.54	48.02	18.54	48.02
8.1	19.45	47.9	19.45	47.9
6.9	17.52	47.2	17.52	47.2
5.6	11.91	47.86	11.91	47.86
4.7	10.21	47.92	10.21	47.92
4.1	8.24	45.62	8.24	45.62
3.4	6.97	48.64	6.97	48.64
2.81	4.89	47.21	4.89	47.21
2.34	4.46	43.53	4.46	43.53
2.03	3.79	45.06	3.79	45.06
1.72	2.33	54.77	2.33	54.77
1.41	2.22	42.16	2.22	42.16
1.17	2.01	33.96	2.01	33.96
1.02	1.91	48.1	1.91	48.1
0.86	1.35	43.87	1.35	43.87
0.7	1.25	43.96	1.25	43.96
0.59	1.05	5.31	1.05	5.31
0.51	0.47	74.45	0.47	74.45
0.43	0.79	0.92	0.79	0.92
0.35	1.21	33.96	1.21	33.96
